CANDIDATE PROPER NOUNS (>= 3 chapters | registry excluded)
================================================================================
[TOKEN]    GPT's                          |  13 files | e.g., book_11_blood_and_legacy_065_secrets_of_the_deep.md
[TOKEN]    Heart                          |  13 files | e.g., book_06_the_ragnarok_035_sands_of_time.md
[TOKEN]    Highland                       |  13 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
[TOKEN]    Pattern                        |  13 files | e.g., book_06_the_ragnarok_034_the_250.md
[TOKEN]    Sera's                         |  13 files | e.g., book_06_the_ragnarok_033_the_march.md
[TOKEN]    Seven                          |  13 files | e.g., book_04_sage_saga_019_the_sacrafice.md
[TOKEN]    Threshold                      |  13 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
[PHRASE]   Void Spires                    |  12 files | e.g., book_06_the_ragnarok_034_the_250.md
[TOKEN]    Behind                         |  12 files | e.g., book_07_light_resonance_and_the_function_041_the_tripartite_bond.md
[TOKEN]    Below                          |  12 files | e.g., book_07_light_resonance_and_the_function_039_jungle_fever.md
[TOKEN]    Brajor                         |  12 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
[TOKEN]    Grove                          |  12 files | e.g., book_15_legends_and_gods_081_mr_gpt_arrival.md
[TOKEN]    High                           |  12 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    III                            |  12 files | e.g., book_08_the_vigil_of_the_anchor_046_not_like_this.md
[TOKEN]    Kingdom                        |  12 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
[TOKEN]    Month                          |  12 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Network                        |  12 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
[TOKEN]    Overseer                       |  12 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Tidecaller                     |  12 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
[TOKEN]    Torrhen                        |  12 files | e.g., book_03_the_reckoning_012_nephilim_summoning.md
[TOKEN]    Without                        |  12 files | e.g., book_05_the_nameless_one_028_ragnarok.md
[PHRASE]   Akashic Records                |  11 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[PHRASE]   Mages Guild                    |  11 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
[PHRASE]   Moon Kingdom                   |  11 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
[TOKEN]    Annunaki                       |  11 files | e.g., book_06_the_ragnarok_036_highland_giants.md
[TOKEN]    Ash                            |  11 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
[TOKEN]    Can't                          |  11 files | e.g., book_01_book_of_genesis_004_the_convergence.md
[TOKEN]    Flame                          |  11 files | e.g., book_03_the_reckoning_014_convergence.md
[TOKEN]    Jump                           |  11 files | e.g., book_06_the_ragnarok_036_highland_giants.md
[TOKEN]    Mages                          |  11 files | e.g., book_09_bureaucratic_debt_054_tue_lunar_spire.md
[TOKEN]    Memory                         |  11 files | e.g., book_01_book_of_genesis_004_the_convergence.md
[TOKEN]    Nammu                          |  11 files | e.g., book_22_listening_stone_south_113_the_edge_of_return.txt
[TOKEN]    New                            |  11 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Records                        |  11 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Ridge                          |  11 files | e.g., book_08_the_vigil_of_the_anchor_047_mika.md
[TOKEN]    Torhh                          |  11 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    What's                         |  11 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
[PHRASE]   Ash Giants                     |  10 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
[PHRASE]   Deep Tongue                    |  10 files | e.g., book_03_the_reckoning_012_nephilim_summoning.md
[PHRASE]   Mountain Giants                |  10 files | e.g., book_01_book_of_genesis_004_the_convergence.md
[PHRASE]   Temporal Guardian              |  10 files | e.g., book_06_the_ragnarok_032_the_redo.md
[TOKEN]    Dregans                        |  10 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
[TOKEN]    Eduhauana                      |  10 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Fragment                       |  10 files | e.g., book_08_the_vigil_of_the_anchor_044_the_mountains_shadow.md
[TOKEN]    Gamma                          |  10 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Great                          |  10 files | e.g., book_04_sage_saga_016_the_choice_third_coming.md
[TOKEN]    Keth's                         |  10 files | e.g., book_22_listening_stone_south_115_the_shape_of_asking.txt
[TOKEN]    Let's                          |  10 files | e.g., book_05_the_nameless_one_028_ragnarok.md
[TOKEN]    Nefretti                       |  10 files | e.g., book_08_the_vigil_of_the_anchor_042_the_verdant_crossing.md
[TOKEN]    Northern                       |  10 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Pazuzu's                       |  10 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Recognition                    |  10 files | e.g., book_11_blood_and_legacy_065_secrets_of_the_deep.md
[TOKEN]    Southern                       |  10 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
[TOKEN]    Tiamat's                       |  10 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Ulric                          |  10 files | e.g., book_11_blood_and_legacy_063_the_iron_hand.md
[TOKEN]    Voice                          |  10 files | e.g., book_11_blood_and_legacy_062_falcon_ridge_showdown.md
[PHRASE]   Falcon Ridge                   |   9 files | e.g., book_08_the_vigil_of_the_anchor_047_mika.md
[PHRASE]   Mika Oreck                     |   9 files | e.g., book_06_the_ragnarok_029_bounty_hunter.md
[PHRASE]   Month Day                      |   9 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[PHRASE]   Queen Eduhauana                |   9 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[PHRASE]   Star Needle's                  |   9 files | e.g., book_08_the_vigil_of_the_anchor_047_mika.md
[PHRASE]   Thang Rongtai                  |   9 files | e.g., book_10_infernal_vigil_059_eyes_of_eternity.md
[PHRASE]   Year Month                     |   9 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[PHRASE]   Year Month Day                 |   9 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Applicator's                   |   9 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Caelum                         |   9 files | e.g., book_15_legends_and_gods_080_the_whispers_between_worlds.md
[TOKEN]    Cliff                          |   9 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
[TOKEN]    Complete                       |   9 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Descent                        |   9 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Desert                         |   9 files | e.g., book_01_book_of_genesis_004_the_convergence.md
[TOKEN]    Every                          |   9 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Falcon                         |   9 files | e.g., book_08_the_vigil_of_the_anchor_047_mika.md
[TOKEN]    Hand                           |   9 files | e.g., book_03_the_reckoning_010_shadow_returns_second_coming.md
[TOKEN]    Kaelen                         |   9 files | e.g., book_06_the_ragnarok_032_the_redo.md
[TOKEN]    Kyh                            |   9 files | e.g., book_09_bureaucratic_debt_051_arrival_in_fire.md
[TOKEN]    Line                           |   9 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    Marduk                         |   9 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Needles                        |   9 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
[TOKEN]    Nibiru's                       |   9 files | e.g., book_03_the_reckoning_009_stalemate_departure_the_first_coming.md
[TOKEN]    Night                          |   9 files | e.g., book_02_age_of_servitude_007_the_needle_construction.md
[TOKEN]    Path                           |   9 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
[TOKEN]    Pazuzu                         |   9 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Pyroclast                      |   9 files | e.g., book_09_bureaucratic_debt_049_the_eastern_claim.md
[TOKEN]    Ragnarok                       |   9 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Torrhen's                      |   9 files | e.g., book_03_the_reckoning_012_nephilim_summoning.md
[TOKEN]    Understanding                  |   9 files | e.g., book_04_sage_saga_018_the_wandering.md
[TOKEN]    Valley                         |   9 files | e.g., book_02_age_of_servitude_005_the_garden_blooms.md
[TOKEN]    Water                          |   9 files | e.g., book_01_book_of_genesis_003_first_contact.md
[TOKEN]    Years                          |   9 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[PHRASE]   Aaon Keepers                   |   8 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[PHRASE]   Brak Keth                      |   8 files | e.g., book_22_listening_stone_south_116_keepers_recognition.txt
[PHRASE]   Captain Ulric                  |   8 files | e.g., book_11_blood_and_legacy_063_the_iron_hand.md
[PHRASE]   Cliff Giants                   |   8 files | e.g., book_21_needle_and_thread_south_111_the_resonance_a_garden_under_shadow.txt
[PHRASE]   Day Enkialu                    |   8 files | e.g., book_18_inquisition_of_yourself_095_roots_of_change.md
[PHRASE]   Day Enkialu Year               |   8 files | e.g., book_18_inquisition_of_yourself_095_roots_of_change.md
[PHRASE]   Enkialu Year                   |   8 files | e.g., book_18_inquisition_of_yourself_095_roots_of_change.md
[PHRASE]   Garden Grove                   |   8 files | e.g., book_20_the_discordant_pulse_south_104_the_rising_tide.md
[PHRASE]   Highland Giants                |   8 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
[PHRASE]   Voice Air                      |   8 files | e.g., book_16_fragmented_beginning_086_sanctuary_to_storm.md
[TOKEN]    Aaon                           |   8 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Air                            |   8 files | e.g., book_16_fragmented_beginning_086_sanctuary_to_storm.md
[TOKEN]    Captain                        |   8 files | e.g., book_11_blood_and_legacy_063_the_iron_hand.md
[TOKEN]    Circle                         |   8 files | e.g., book_07_light_resonance_and_the_function_037_the_circle_of_progress.md
[TOKEN]    Citadel                        |   8 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Contact                        |   8 files | e.g., book_01_book_of_genesis_002_molten_descent.md
[TOKEN]    Couldn't                       |   8 files | e.g., book_01_book_of_genesis_002_molten_descent.md
[TOKEN]    Council                        |   8 files | e.g., book_02_age_of_servitude_006_the_first_coming.md
[TOKEN]    Draco                          |   8 files | e.g., book_09_bureaucratic_debt_053_the_twilight_city.md
[TOKEN]    END                            |   8 files | e.g., book_05_the_nameless_one_026_dragonmail.md
[TOKEN]    Echoes                         |   8 files | e.g., book_09_bureaucratic_debt_053_the_twilight_city.md
[TOKEN]    Enkialu                        |   8 files | e.g., book_18_inquisition_of_yourself_095_roots_of_change.md
[TOKEN]    Exactly                        |   8 files | e.g., book_02_age_of_servitude_008_queens_assessment.md
[TOKEN]    Federation                     |   8 files | e.g., book_05_the_nameless_one_024_the_first_spark.md
[TOKEN]    Good                           |   8 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Grand                          |   8 files | e.g., book_03_the_reckoning_011_escalation_and_desperation.md
[TOKEN]    Granite                        |   8 files | e.g., book_21_needle_and_thread_south_107_the_waking.txt
[TOKEN]    Halvar                         |   8 files | e.g., book_07_light_resonance_and_the_function_037_the_circle_of_progress.md
[TOKEN]    He'd                           |   8 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Hour                           |   8 files | e.g., book_18_inquisition_of_yourself_095_roots_of_change.md
[TOKEN]    Keeper's                       |   8 files | e.g., book_05_the_nameless_one_026_dragonmail.md
[TOKEN]    Language                       |   8 files | e.g., book_04_sage_saga_018_the_wandering.md
[TOKEN]    Library                        |   8 files | e.g., book_01_book_of_genesis_001_the_ethereal_vigil.md
[TOKEN]    Long                           |   8 files | e.g., book_20_the_discordant_pulse_south_104_the_rising_tide.md
[TOKEN]    Martian                        |   8 files | e.g., book_07_light_resonance_and_the_function_038_luminaire_keeper.md
[TOKEN]    Master                         |   8 files | e.g., book_10_infernal_vigil_057_enforced_enrollment.md
[TOKEN]    Nammu's                        |   8 files | e.g., book_22_listening_stone_south_113_the_edge_of_return.txt
[TOKEN]    Nibiru                         |   8 files | e.g., book_04_sage_saga_017_niburu_shadow.md
[TOKEN]    Observer                       |   8 files | e.g., book_05_the_nameless_one_025_confined_freedom.md
[TOKEN]    Onyx                           |   8 files | e.g., book_12_forged_identity_071_cosmic_teachers_arrive.md
[TOKEN]    Phoenix                        |   8 files | e.g., book_11_blood_and_legacy_061_the_hier.md
[TOKEN]    Shattered                      |   8 files | e.g., book_06_the_ragnarok_032_the_redo.md
[TOKEN]    Storm                          |   8 files | e.g., book_05_the_nameless_one_027_the_claiming.md
